Grupo	Código	Parroquia Base	Región	Código	Provincia	Código	Cantón	Código	Parroquia
-1			Costa	08	Esmeraldas	0805	San Lorenzo	080552	Ancon (Pinchangal(cab. en Palma Real)
-1			Costa	08	Esmeraldas	0805	San Lorenzo	080550	San Lorenzo
-1			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
-1									
1			Costa	08	Esmeraldas	0805	San Lorenzo	080552	Ancon (Pinchangal(cab. en Palma Real)
1			Costa	08	Esmeraldas	0805	San Lorenzo	080550	San Lorenzo
1			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
1			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
1			Costa	08	Esmeraldas	0805	San Lorenzo	080550	San Lorenzo
1									
2			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
2			Costa	08	Esmeraldas	0805	San Lorenzo	080561	Tululbi (cab. en Ricaurte)
2									
3			Galßpagos	20	Gal?pagos	2002	Tomas De Berlanga	200251	Isla  Teodoro Wolf (Wenman)
3									
4			Costa	08	Esmeraldas	0802	Eloy Alfaro	080257	Pampanal de BolÝvar
4									
5			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
5			Costa	08	Esmeraldas	0805	San Lorenzo	080560	Tambillo
5									
6			Costa	08	Esmeraldas	0805	San Lorenzo	080550	San Lorenzo
6			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
6			Costa	08	Esmeraldas	0802	Eloy Alfaro	080257	Pampanal de BolÝvar
6			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
6			Costa	08	Esmeraldas	0805	San Lorenzo	080550	San Lorenzo
6									
7			Costa	08	Esmeraldas	0805	San Lorenzo	080560	Tambillo
7			Costa	08	Esmeraldas	0802	Eloy Alfaro	080250	Valdez (Limones)
7									
8			Costa	08	Esmeraldas	0802	Eloy Alfaro	080250	Valdez (Limones)
8			Costa	08	Esmeraldas	0802	Eloy Alfaro	080250	Valdez (Limones)
8			Costa	08	Esmeraldas	0802	Eloy Alfaro	080254	La Tola
8									
9	080561	Tululbi (cab. en Ricaurte)	Costa	08	Esmeraldas	0805	San Lorenzo	080561	Tululbi (cab. en Ricaurte)
10			Costa	08	Esmeraldas	0805	San Lorenzo	080560	Tambillo
10			Costa	08	Esmeraldas	0802	Eloy Alfaro	080250	Valdez (Limones)
10			Costa	08	Esmeraldas	0802	Eloy Alfaro	080254	La Tola
10									
11			Costa	08	Esmeraldas	0805	San Lorenzo	080557	Mataje (cab. en Santander)
11			Costa	08	Esmeraldas	0805	San Lorenzo	080561	Tululbi (cab. en Ricaurte)
11			Costa	08	Esmeraldas	0805	San Lorenzo	080553	Calderon
11			Costa	08	Esmeraldas	0805	San Lorenzo	080554	Carondelet
12			Costa	08	Esmeraldas	0802	Eloy Alfaro	080254	La Tola
12									
13	040156	Tobar Donoso (La Bocana de Camumbi)	Sierra	04	Carchi	0401	Tulc?n	040156	Tobar Donoso (La Bocana de Camumbi)
14			Sierra	04	Carchi	0401	Tulc?n	040156	Tobar Donoso (La Bocana de Camumbi)
