Region	Nomregion	Provincia	Nomprov	Canton	Nomcan	Parroquia	Nompar
S	SIERRA	1	AZUAY	1	CUENCA	1	BELLAVISTA
S	SIERRA	1	AZUAY	1	CUENCA	2	CAÑARIBAMBA
S	SIERRA	1	AZUAY	1	CUENCA	3	EL BATAN
S	SIERRA	1	AZUAY	1	CUENCA	4	EL SAGRARIO
S	SIERRA	1	AZUAY	1	CUENCA	5	EL VECINO
S	SIERRA	1	AZUAY	1	CUENCA	6	GIL RAMIREZ DAVALOS
S	SIERRA	1	AZUAY	1	CUENCA	7	HUAYNACAPAC
S	SIERRA	1	AZUAY	1	CUENCA	8	MACHANGARA
S	SIERRA	1	AZUAY	1	CUENCA	9	MONAY
S	SIERRA	1	AZUAY	1	CUENCA	10	SAN BLAS
S	SIERRA	1	AZUAY	1	CUENCA	11	SAN SEBASTIAN
S	SIERRA	1	AZUAY	1	CUENCA	12	SUCRE
S	SIERRA	1	AZUAY	1	CUENCA	13	TOTORACOCHA
S	SIERRA	1	AZUAY	1	CUENCA	14	YANUNCAY
S	SIERRA	1	AZUAY	1	CUENCA	15	HERMANO MIGUEL
S	SIERRA	1	AZUAY	1	CUENCA	50	CUENCA
S	SIERRA	1	AZUAY	1	CUENCA	51	BAÑOS
S	SIERRA	1	AZUAY	1	CUENCA	52	CUMBE
S	SIERRA	1	AZUAY	1	CUENCA	53	CHAUCHA
S	SIERRA	1	AZUAY	1	CUENCA	54	CHECA (JIDCAY)
S	SIERRA	1	AZUAY	1	CUENCA	55	CHIQUINTAD
S	SIERRA	1	AZUAY	1	CUENCA	56	LLACAO
S	SIERRA	1	AZUAY	1	CUENCA	57	MOLLETURO
S	SIERRA	1	AZUAY	1	CUENCA	58	NULTI
S	SIERRA	1	AZUAY	1	CUENCA	59	OCTAVIO CORDERO PALACIOS  (SANTA ROSA)
S	SIERRA	1	AZUAY	1	CUENCA	60	PACCHA
S	SIERRA	1	AZUAY	1	CUENCA	61	QUINGEO
S	SIERRA	1	AZUAY	1	CUENCA	62	RICAURTE
S	SIERRA	1	AZUAY	1	CUENCA	63	SAN JOAQUIN
S	SIERRA	1	AZUAY	1	CUENCA	64	SANTA ANA
S	SIERRA	1	AZUAY	1	CUENCA	65	SAYAUSI
S	SIERRA	1	AZUAY	1	CUENCA	66	SIDCAY
S	SIERRA	1	AZUAY	1	CUENCA	67	SININCAY
S	SIERRA	1	AZUAY	1	CUENCA	68	TARQUI
S	SIERRA	1	AZUAY	1	CUENCA	69	TURI
S	SIERRA	1	AZUAY	1	CUENCA	70	VALLE
S	SIERRA	1	AZUAY	1	CUENCA	71	VICTORIA DEL PORTETE (IRQUIS)
S	SIERRA	1	AZUAY	2	GIRON	50	GIRON
S	SIERRA	1	AZUAY	2	GIRON	51	ASUNCION
S	SIERRA	1	AZUAY	2	GIRON	52	SAN GERARDO
S	SIERRA	1	AZUAY	3	GUALACEO	50	GUALACEO
S	SIERRA	1	AZUAY	3	GUALACEO	51	CHORDELEG
S	SIERRA	1	AZUAY	3	GUALACEO	52	DANIEL CORDOVA TORAL (EL ORIENTE)
S	SIERRA	1	AZUAY	3	GUALACEO	53	JADAN
S	SIERRA	1	AZUAY	3	GUALACEO	54	MARIANO MORENO
S	SIERRA	1	AZUAY	3	GUALACEO	55	PRINCIPAL
S	SIERRA	1	AZUAY	3	GUALACEO	56	REMIGIO CRESPO TORAL (GULAG)
S	SIERRA	1	AZUAY	3	GUALACEO	57	SAN JUAN
S	SIERRA	1	AZUAY	3	GUALACEO	58	ZHIDMAD
S	SIERRA	1	AZUAY	3	GUALACEO	59	LUIS CORDERO VEGA
S	SIERRA	1	AZUAY	4	NABON	50	NABON
S	SIERRA	1	AZUAY	4	NABON	51	COCHAPATA
S	SIERRA	1	AZUAY	4	NABON	52	EL PROGRESO (CAB.EN ZHOTA)
S	SIERRA	1	AZUAY	4	NABON	53	LAS NIEVES (CHAYA)
S	SIERRA	1	AZUAY	4	NABON	54	OÑA
S	SIERRA	1	AZUAY	5	PAUTE	50	PAUTE
S	SIERRA	1	AZUAY	5	PAUTE	51	AMALUZA
S	SIERRA	1	AZUAY	5	PAUTE	52	BULAN (JOSE VICTOR IZQUIERDO)
S	SIERRA	1	AZUAY	5	PAUTE	53	CHICAN (GUILLERMO ORTEGA)
S	SIERRA	1	AZUAY	5	PAUTE	54	EL CABO
S	SIERRA	1	AZUAY	5	PAUTE	55	GUACHAPALA
S	SIERRA	1	AZUAY	5	PAUTE	56	GUARAINAG
S	SIERRA	1	AZUAY	5	PAUTE	57	PALMAS
S	SIERRA	1	AZUAY	5	PAUTE	58	PAN
S	SIERRA	1	AZUAY	5	PAUTE	59	SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO)
S	SIERRA	1	AZUAY	5	PAUTE	60	SEVILLA DE ORO
S	SIERRA	1	AZUAY	5	PAUTE	61	TOMEBAMBA
S	SIERRA	1	AZUAY	5	PAUTE	62	DUG DUG
S	SIERRA	1	AZUAY	6	PUCARA	50	PUCARA
S	SIERRA	1	AZUAY	6	PUCARA	51	CAMILO PONCE ENRIQUEZ
S	SIERRA	1	AZUAY	6	PUCARA	52	SAN RAFAEL DE SHARUG
S	SIERRA	1	AZUAY	7	SAN FERNANDO	50	SAN FERNANDO
S	SIERRA	1	AZUAY	7	SAN FERNANDO	51	CHUMBLIN
S	SIERRA	1	AZUAY	8	SANTA ISABEL	50	SANTA ISABEL
S	SIERRA	1	AZUAY	8	SANTA ISABEL	51	ABDON CALDERON  (LA UNION)
S	SIERRA	1	AZUAY	8	SANTA ISABEL	52	EL CARMEN DE PIJILI
S	SIERRA	1	AZUAY	8	SANTA ISABEL	53	ZHAGLLI (SHAGLLI)
S	SIERRA	1	AZUAY	9	SIGSIG	50	SIGSIG
S	SIERRA	1	AZUAY	9	SIGSIG	51	CUCHIL (CUTCHIL)
S	SIERRA	1	AZUAY	9	SIGSIG	52	GIMA
S	SIERRA	1	AZUAY	9	SIGSIG	53	GUEL
S	SIERRA	1	AZUAY	9	SIGSIG	54	LUDO
S	SIERRA	1	AZUAY	9	SIGSIG	55	SAN BARTOLOME
S	SIERRA	1	AZUAY	9	SIGSIG	56	SAN JOSE DE RARANGA
S	SIERRA	1	AZUAY	10	OÑA	50	SAN FELIPE DE OÑA
S	SIERRA	1	AZUAY	10	OÑA	51	SUSUDEL
S	SIERRA	1	AZUAY	11	CHORDELEG	50	CHORDELEG
S	SIERRA	1	AZUAY	11	CHORDELEG	51	PRINCIPAL
S	SIERRA	1	AZUAY	11	CHORDELEG	52	LA UNION
S	SIERRA	1	AZUAY	11	CHORDELEG	53	LUIS GALARZA ORELLANA
S	SIERRA	1	AZUAY	11	CHORDELEG	54	SAN MARTIN DE PUZHIO
S	SIERRA	1	AZUAY	12	EL PAN	50	EL PAN
S	SIERRA	1	AZUAY	12	EL PAN	51	AMALUZA
S	SIERRA	1	AZUAY	12	EL PAN	52	PALMAS
S	SIERRA	1	AZUAY	12	EL PAN	53	SAN VICENTE
S	SIERRA	1	AZUAY	13	SEVILLA DE  ORO	50	SEVILLA DE ORO
S	SIERRA	1	AZUAY	13	SEVILLA DE  ORO	51	AMALUZA
S	SIERRA	1	AZUAY	13	SEVILLA DE  ORO	52	PALMAS
S	SIERRA	1	AZUAY	14	GUACHAPALA	50	GUACHAPALA
S	SIERRA	2	BOLIVAR	1	GUARANDA	1	ANGEL POLIBIO CHAVES
S	SIERRA	2	BOLIVAR	1	GUARANDA	2	GABRIEL IGNACIO VEINTIMILLA
S	SIERRA	2	BOLIVAR	1	GUARANDA	3	GUANUJO
S	SIERRA	2	BOLIVAR	1	GUARANDA	50	GUARANDA
S	SIERRA	2	BOLIVAR	1	GUARANDA	51	FACUNDO VELA
S	SIERRA	2	BOLIVAR	1	GUARANDA	52	GUANUJO
S	SIERRA	2	BOLIVAR	1	GUARANDA	53	JULIO E. MORENO
S	SIERRA	2	BOLIVAR	1	GUARANDA	54	LAS NAVES
S	SIERRA	2	BOLIVAR	1	GUARANDA	55	SALINAS
S	SIERRA	2	BOLIVAR	1	GUARANDA	56	SAN LORENZO
S	SIERRA	2	BOLIVAR	1	GUARANDA	57	SAN SIMON (YACOTO)
S	SIERRA	2	BOLIVAR	1	GUARANDA	58	SANTA FE
S	SIERRA	2	BOLIVAR	1	GUARANDA	59	SIMIATUG
S	SIERRA	2	BOLIVAR	1	GUARANDA	60	SAN LUIS DE PAMBIL
S	SIERRA	2	BOLIVAR	2	CHILLANES	50	CHILLANES
S	SIERRA	2	BOLIVAR	2	CHILLANES	51	SAN JOSE DEL TAMBO (TAMBOPAMBA)
S	SIERRA	2	BOLIVAR	3	CHIMBO	50	SAN JOSE DE CHIMBO
S	SIERRA	2	BOLIVAR	3	CHIMBO	51	ASUNCION
S	SIERRA	2	BOLIVAR	3	CHIMBO	52	CALUMA
S	SIERRA	2	BOLIVAR	3	CHIMBO	53	MAGDALENA (CHAPACOTO)
S	SIERRA	2	BOLIVAR	3	CHIMBO	54	SAN SEBASTIAN
S	SIERRA	2	BOLIVAR	3	CHIMBO	55	TELIMBELA
S	SIERRA	2	BOLIVAR	4	ECHEANDIA	50	ECHEANDIA
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	50	SAN MIGUEL
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	51	BALSAPAMBA
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	52	BILOVAN
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	53	REGULO DE MORA
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	54	SAN PABLO  (SAN PABLO DE ATENAS
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	55	SANTIAGO
S	SIERRA	2	BOLIVAR	5	SAN MIGUEL	56	SAN VICENTE
S	SIERRA	2	BOLIVAR	6	CALUMA	50	CALUMA
S	SIERRA	2	BOLIVAR	7	LAS NAVES	1	LAS MERCEDES
S	SIERRA	2	BOLIVAR	7	LAS NAVES	2	LAS NAVES
S	SIERRA	2	BOLIVAR	7	LAS NAVES	50	LAS NAVES
S	SIERRA	3	CAÑAR	1	AZOGUES	1	AURELIO BAYAS MARTINEZ
S	SIERRA	3	CAÑAR	1	AZOGUES	2	AZOGUES
S	SIERRA	3	CAÑAR	1	AZOGUES	3	BORRERO
S	SIERRA	3	CAÑAR	1	AZOGUES	4	SAN FRANCISCO
S	SIERRA	3	CAÑAR	1	AZOGUES	50	AZOGUES
S	SIERRA	3	CAÑAR	1	AZOGUES	51	COJITAMBO
S	SIERRA	3	CAÑAR	1	AZOGUES	52	DELEG
S	SIERRA	3	CAÑAR	1	AZOGUES	53	GUAPAN
S	SIERRA	3	CAÑAR	1	AZOGUES	54	JAVIER LOYOLA (CHUQUIPATA)
S	SIERRA	3	CAÑAR	1	AZOGUES	55	LUIS CORDERO
S	SIERRA	3	CAÑAR	1	AZOGUES	56	PINDILIG
S	SIERRA	3	CAÑAR	1	AZOGUES	57	RIVERA
S	SIERRA	3	CAÑAR	1	AZOGUES	58	SAN MIGUEL
S	SIERRA	3	CAÑAR	1	AZOGUES	59	SOLANO
S	SIERRA	3	CAÑAR	1	AZOGUES	60	TADAY
S	SIERRA	3	CAÑAR	2	BIBLIAN	50	BIBLIAN
S	SIERRA	3	CAÑAR	2	BIBLIAN	51	NAZON
S	SIERRA	3	CAÑAR	2	BIBLIAN	52	SAN FRANCISCO DE SAGEO
S	SIERRA	3	CAÑAR	2	BIBLIAN	53	TURUPAMBA
S	SIERRA	3	CAÑAR	2	BIBLIAN	54	JERUSALEN
S	SIERRA	3	CAÑAR	3	CAÑAR	50	CAÑAR
S	SIERRA	3	CAÑAR	3	CAÑAR	51	CHONTAMARCA
