CODIGO	NOMBRE	DIRECCIO	PROV	CAN	PARR	SOSTENIM	NIVEL
1000	LEOPOLDO N CHAVEZ	PICHINCHA Y SUCRE	4	1	02	1	1
1003	CARLOS MANTILLA ORTEGA	MACHALA Y PUYO	10	1	02	1	1
1004	JUAN FEDERICO HEINERT DR. # 47	GRAL. GOMEZ Y CORONEL	9	1	01	1	1
1006	JULIO MARTINEZ ACOSTA	R.ARELLANO Y 9 OCTUB	4	1	02	1	1
1007	AZAYA	CUENCA 1-124	10	1	02	1	1
1008	GABRIELA MISTRAL	AV. EL CENTENARIO	4	1	02	1	1
1009	CENTRO ESCOLAR 9 DE OCTUBRE # 81	E.ALFARO # 1304 Y FCO.DE MARCOS	9	1	01	1	1
1010	BENJAMIN CARRION	AUTOPISTA SANGOLQUI TAMBILLO	17	1	52	1	1
1011	FILADELFIA # 68	CALICUCHIMA 523 Y NOGUCHI        523	9	1	01	4	1
1012	JOSE JOAQUIN OLMEDO	AV. VEINTIMILLA	4	1	02	1	1
1013	EL NUEVO LUCIANO DE QUITO	COMITE DEL PUEBLO PUENGASI	17	1	21	1	1
1014	AVELINA LASSO DE PLAZA	HUIRACOCHA S/N	10	1	01	1	1
1015	CARLOS BENJAMIN ROSALES	JUAN AGUIRRE Y COLTA        S.N.	17	1	21	1	1
1016	SANTA MARIANA DE JESUS # 102	CHIMBORAZO Y MALDONADO     1819	9	1	01	4	1
1017	LUIS ROSERO NAVARRETE	PANAMA Y BOLIVIA	4	1	01	1	1
1018	MARIA MONTESSORI	GARCIA MORENO 2-24 Y SALINAS	10	1	03	1	1
1019	ISOLINA VITERI DE ARREGUI	PEDRO VICENTE MALDONADO # 1413	17	1	21	1	1
1021	CRISTO REY	AV. VEINTIMILLA	4	1	02	4	1
1022	REPUBLICA DE GUATEMALA	SALCEDO Y CORAZON	17	1	21	1	1
1023	POLLITOS # 204	CHIMBORAZO Y PORTETE, ESQ.	9	1	01	5	1
1024	U.N.E.	SANCHEZ Y CIFUENTES 184	10	1	03	1	1
1026	CASA DE LA CULTURA ECUATORIANA	COCHASQUI D. GUERRA	17	1	21	1	1
1027	GONZALO LLONA  # 45	ROCAFUERTE Y PLAZA COLON	9	1	03	1	1
1028	PIEDAD GOMEZJURADO	HONDURAS Y BOLIVIA	10	1	03	1	1
1029	TOMAS TADEU	AV.PABLO GUARDERAS Y TERCERA TRANSVERSAL	17	3	01	5	1
1030	CARLOS LUIS PLAZA DAÑIN # 58	ROCAFUERTE # 100 Y PLAZA COLON   100	9	1	03	1	1
1031	SAGRADO CORAZON DE JESUS	OLMEDO Y BOYACA	4	1	01	4	1
1033	GRAN BRETAÑA	P. ALCOCER Y OBISPO DIAZ DE LA M.	17	1	22	1	1
1034	FE Y ALEGRIA	AV. BRASIL S/N .	4	1	01	4	1
1035	DR. CAMILO GALLEGOS	FRAY VACAS GALINDO Y MARIANO ACOSTA	10	1	04	1	1
1036	SEMILLERO # 19	BAQUERIZO MORENO           805	9	1	03	5	1
1038	JOSE MARIA VELASCO IBARRA		4	1	01	1	1
1039	LAURA VICUÑA # 11	LUIS URDANETA Y CORDOVA    205	9	1	03	4	1
1040	LIDIA INES MOLINA	CUNRRO 5-25 Y MOJANDA- PRIORATO	10	1	05	1	1
1041	MARIA AUXILIADORA  # 237	P.ICAZA Y BAQUERIZO MORENO 434	9	1	03	4	1
1042	27 DE MARZO	10 DE AGOSTO S/N.	4	1	51	1	1
1044	ROSA MATILDE PALACIOS CASTELO	AVDA 17 DE JULIO- EL OLIVO	10	1	03	1	1
1045	PERLA DEL PACIFICO  # 13	LA 38 AVA. Y CALICUCHIMA	9	1	04	1	1
1046	ALBERTINA FRANCO DE LEORO	TEODORO GOMEZ 13-87	10	1	04	1	1
1047	PRIMERO DE JUNIO	JULIO ANDRADE	4	6	01	1	1
1049	JORGE GUZMAN RUEDA		10	1	04	1	1
1050	ISABEL RAMIREZ ESTRADA # 14	LA 33 AVA. Y CALICUCHIMA	9	1	04	1	1
1052	LUCINDA TOLEDO	MONTES # 319 Y DIEGO MENDEZ	17	1	18	1	1
1053	RAFAEL SUAREZ MENESES	RIO BLANCO Y JUBONES	10	1	04	1	1
1054	MARIA BORJA	PANAMERICANA  S/N	4	1	53	1	1
1055	HUMBERTO SALVADOR GUERRA # 19	LA 37 AVA. Y CALICUCHIMA	9	1	04	1	1
1056	MARIA ANGELICA CARRILLO	BARTOLOME CARBO # 78-88	17	1	20	1	1
1057	SEMILLITAS DE AMOR	GUALLUPE 1-34 EJIDO DE IBARRA	10	1	04	1	1
1058	HUAYNA CAPAC  # 20	FEBRES CORDERO   Y LA 24 AVA.    4621	9	1	04	1	1
